route,theme,viewport,msgType,text
/ua,light,desktop,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/ua,light,mobile,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/ua,dark,desktop,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/ua,dark,mobile,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/ua,light,desktop,log,"[HMR] connected"
/ua,light,mobile,log,"[HMR] connected"
/ua,dark,mobile,log,"[HMR] connected"
/ua,dark,desktop,log,"[HMR] connected"
/ua,light,desktop,warning,"Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly."
/ua,light,desktop,log,"[Vercel Web Analytics] Failed to load script from https://va.vercel-scripts.com/v1/script.debug.js. Please check if any ad blockers are enabled and try again."
/ua,light,mobile,warning,"Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly."
/ua,light,mobile,log,"[Vercel Web Analytics] Failed to load script from https://va.vercel-scripts.com/v1/script.debug.js. Please check if any ad blockers are enabled and try again."
/ua,dark,mobile,warning,"Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly."
/ua,dark,desktop,warning,"Please ensure that the container has a non-static position, like 'relative', 'fixed', or 'absolute' to ensure scroll offset is calculated correctly."
/ua,dark,mobile,log,"[Vercel Web Analytics] Failed to load script from https://va.vercel-scripts.com/v1/script.debug.js. Please check if any ad blockers are enabled and try again."
/ua,dark,desktop,log,"[Vercel Web Analytics] Failed to load script from https://va.vercel-scripts.com/v1/script.debug.js. Please check if any ad blockers are enabled and try again."
/ua,dark,desktop,log,"[Fast Refresh] rebuilding"
/ua,light,desktop,log,"[Fast Refresh] rebuilding"
/ua,dark,mobile,log,"[Fast Refresh] rebuilding"
/ua,light,mobile,log,"[Fast Refresh] rebuilding"
/en,light,desktop,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/en,light,mobile,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/en,dark,desktop,info,"%cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold"
/en,light,desktop,log,"[HMR] connected"
